feature_name,dimension,mcda_disposition,direction,rationale,represented_by_if_excluded
building_footprint_area_m2,Urban Form,EXCLUDE_REDUNDANT,N/A,Correlated with coverage ratio.,building_coverage_ratio_conditional
mean_building_footprint_m2,Urban Form,EXCLUDE_REDUNDANT,N/A,0-filled placeholder for an undefined mean on zero-building cells (see Phase 5A); average building SIZE is also not a clearly-directional suitability signal.,has_buildings
metro_station_count,Mobility/Transit Context,EXCLUDE_REDUNDANT,N/A,"Presence-count is redundant with the corresponding distance-to-nearest measure for a 500m cell; distance is the finer-grained, more informative form.",the corresponding distance_to_nearest_*_m criterion
tram_station_count,Mobility/Transit Context,EXCLUDE_REDUNDANT,N/A,"Presence-count is redundant with the corresponding distance-to-nearest measure for a 500m cell; distance is the finer-grained, more informative form.",the corresponding distance_to_nearest_*_m criterion
rail_station_count,Mobility/Transit Context,EXCLUDE_REDUNDANT,N/A,"Presence-count is redundant with the corresponding distance-to-nearest measure for a 500m cell; distance is the finer-grained, more informative form.",the corresponding distance_to_nearest_*_m criterion
ferry_terminal_count,Mobility/Transit Context,EXCLUDE_REDUNDANT,N/A,"Presence-count is redundant with the corresponding distance-to-nearest measure for a 500m cell; distance is the finer-grained, more informative form.",the corresponding distance_to_nearest_*_m criterion
metrobus_station_count,Mobility/Transit Context,EXCLUDE_REDUNDANT,N/A,"Presence-count is redundant with the corresponding distance-to-nearest measure for a 500m cell; distance is the finer-grained, more informative form.",the corresponding distance_to_nearest_*_m criterion
transit_stops_within_1000m,Mobility/Transit Context,EXCLUDE_REDUNDANT,N/A,Correlated with the 500m radius version at this grid resolution.,transit_stops_within_500m
unique_rail_lines,Mobility/Transit Context,EXCLUDE_REDUNDANT,N/A,Correlated with fixed_guideway_stations_within_1000m.,fixed_guideway_stations_within_1000m
bus_departures_peak_hour,Mobility/Transit Context,EXCLUDE_REDUNDANT,N/A,Highly correlated with daily departures at this scale.,bus_departures_per_day
number_of_transit_modes_accessible,Mobility/Transit Context,EXCLUDE_REDUNDANT,N/A,Derived from the same underlying distances/counts already retained individually.,the individual distance_to_nearest_*_m criteria
bus_stops_within_500m,Mobility/Transit Context,EXCLUDE_REDUNDANT,N/A,Subset of transit_stops_within_500m (bus is the dominant mode); pooled measure preferred.,transit_stops_within_500m
routes_serving_grid,Mobility/Transit Context,EXCLUDE_REDUNDANT,N/A,Correlated with bus_departures_per_day / stop counts.,bus_departures_per_day
unique_bus_routes,Mobility/Transit Context,EXCLUDE_REDUNDANT,N/A,Correlated with bus_departures_per_day.,bus_departures_per_day
total_transit_stop_count,Mobility/Transit Context,EXCLUDE_REDUNDANT,N/A,Sum of the individual mode counts already excluded in favor of distances.,transit_stops_within_500m
bus_stop_count,Mobility/Transit Context,EXCLUDE_REDUNDANT,N/A,Presence-count redundant with the pooled distance/radius measures.,distance_to_nearest_transit_m / transit_stops_within_500m
distance_to_nearest_bus_stop_m,Mobility/Transit Context,EXCLUDE_REDUNDANT,N/A,Correlated with the pooled distance_to_nearest_transit_m (bus is the dominant/most ubiquitous mode).,distance_to_nearest_transit_m
rail_stations_within_1000m,Mobility/Transit Context,EXCLUDE_REDUNDANT,N/A,Exact duplicate of fixed_guideway_stations_within_1000m (deprecated alias).,fixed_guideway_stations_within_1000m
bicycle_parking_count,Cycling Readiness,EXCLUDE_REDUNDANT,N/A,Correlated with the corresponding distance measure at this grid resolution; distance is more informative for a mostly-sparse point layer.,distance_to_nearest_bicycle_parking_m
micromobility_parking_count,Cycling Readiness,EXCLUDE_REDUNDANT,N/A,Correlated with the corresponding distance measure.,distance_to_nearest_micromobility_parking_m
cycle_infrastructure_length_km_ibb_only,Cycling Readiness,EXCLUDE_REDUNDANT,N/A,Length is area-dependent; density is the scale-free form.,cycle_infrastructure_density_km_per_km2_ibb_only
protected_cycleway_length_km_ibb_only,Cycling Readiness,EXCLUDE_REDUNDANT,N/A,Length is area-dependent; density is the scale-free form.,protected_cycleway_density_km_per_km2_ibb_only
pct_road_network_with_cycle_infrastructure_status,Cycling Readiness,EXCLUDE_PENDING,N/A,"Explicit PENDING_ROAD_NETWORK status sentinel, not a usable numeric criterion yet.",
pct_area_slope_lt_3deg,Terrain Feasibility,EXCLUDE_REDUNDANT,N/A,Complementary share; retaining the two higher bands is sufficient to characterize the slope profile without triple-counting (all four bands sum to 100%).,mean_slope_deg (overall summary)
pct_area_slope_gt_10deg,Terrain Feasibility,EXCLUDE_REDUNDANT,N/A,Correlated with mean_slope_deg/max_slope_deg at this resolution; the two retained mid-range bands already capture the comfortable-to-steep transition relevant to e-bikes.,mean_slope_deg
median_elevation_m,Terrain Feasibility,EXCLUDE_REDUNDANT,N/A,Redundant summary statistic of the same elevation/slope distribution.,mean_slope_deg
max_elevation_m,Terrain Feasibility,EXCLUDE_REDUNDANT,N/A,Redundant summary statistic of the same elevation/slope distribution.,mean_slope_deg
min_elevation_m,Terrain Feasibility,EXCLUDE_REDUNDANT,N/A,Redundant summary statistic of the same elevation/slope distribution.,mean_slope_deg
elevation_range_m,Terrain Feasibility,EXCLUDE_REDUNDANT,N/A,Redundant summary statistic of the same elevation/slope distribution.,mean_slope_deg
elevation_std_m,Terrain Feasibility,EXCLUDE_REDUNDANT,N/A,Redundant summary statistic of the same elevation/slope distribution.,mean_slope_deg
median_slope_deg,Terrain Feasibility,EXCLUDE_REDUNDANT,N/A,Redundant summary statistic of the same elevation/slope distribution.,mean_slope_deg
max_slope_deg,Terrain Feasibility,EXCLUDE_REDUNDANT,N/A,Redundant summary statistic of the same elevation/slope distribution.,mean_slope_deg
slope_std_deg,Terrain Feasibility,EXCLUDE_REDUNDANT,N/A,Redundant summary statistic of the same elevation/slope distribution.,mean_slope_deg
mean_elevation_m,Terrain Feasibility,EXCLUDE_NOT_DECISION_RELEVANT,N/A,"Absolute elevation has no direct operational relevance to e-bike suitability -- it is GRADE (slope), not height above sea level, that affects rider effort/safety and battery use.",mean_slope_deg
n_valid_dem_pixels,Terrain Feasibility,EXCLUDE_NOT_DECISION_RELEVANT,N/A,"Coverage diagnostic, not a substantive criterion.",
road_grade_status,Terrain Feasibility,EXCLUDE_PENDING,N/A,"Explicit PENDING_ROAD_NETWORK status sentinel -- road-grade (as opposed to terrain slope) requires the citywide road network, still unavailable.",
