feature_name,dimension,mcda_disposition,direction,rationale,represented_by_if_excluded
tourism_count,Demand/Activity Potential,EXCLUDE_REDUNDANT,N/A,"Individual POI sub-category; its contribution to overall activity intensity is already captured by poi_density_km2, and food/retail/leisure-specific demand nuance would require a dedicated sub-index this phase does not construct. Kept out of the compact criterion set to avoid over-weighting POI-derived signal relative to other dimensions.",poi_density_km2 (general); retail_count/leisure_count (specific facets retained)
total_poi_count,Demand/Activity Potential,EXCLUDE_REDUNDANT,N/A,Sum of the 12 POI categories; redundant with the density (per-area-normalized) form.,poi_density_km2
poi_category_count,Demand/Activity Potential,EXCLUDE_REDUNDANT,N/A,"Category-diversity count is highly correlated with poi_entropy, which captures the same concept (mixed-use diversity) more informatively (weighted by category share, not just presence/absence).",poi_entropy
population_worldpop_raw,Demand/Activity Potential,EXCLUDE_REDUNDANT,N/A,Superseded by the district-calibrated estimate.,population_density_calibrated_km2
population_calibrated,Demand/Activity Potential,EXCLUDE_REDUNDANT,N/A,"Raw count is area-dependent; density is the comparable, scale-free form.",population_density_calibrated_km2
population_density_worldpop_raw_km2,Demand/Activity Potential,EXCLUDE_REDUNDANT,N/A,Superseded by the district-calibrated estimate.,population_density_calibrated_km2
has_buildings,Urban Form,RETAIN,BENEFIT,Presence of any built environment is a minimal precondition for meaningful pedestrian/cyclist activity and safe operating space; a natural 0/1 threshold criterion.,
building_coverage_ratio_conditional,Urban Form,RETAIN,CONTEXT_DEPENDENT,"Conditional on buildings being present, moderate coverage plausibly indicates walkable, active street frontage; extremely high coverage can mean narrow streets, no curb space, and difficult vehicle staging/parking -- an inverted-U is plausible, not assumed monotonic.",
building_coverage_ratio,Urban Form,EXCLUDE_REDUNDANT,N/A,Superseded by the two-part representation (has_buildings + building_coverage_ratio_conditional) adopted in Phase 5C to fix its extreme-skew clustering-dominance problem; the same fix is carried into the MCDA criteria set for consistency.,has_buildings / building_coverage_ratio_conditional
building_count,Urban Form,EXCLUDE_REDUNDANT,N/A,"Correlated with coverage ratio; ratio is the scale-free, more interpretable form.",has_buildings / building_coverage_ratio_conditional
building_footprint_area_m2,Urban Form,EXCLUDE_REDUNDANT,N/A,Correlated with coverage ratio.,building_coverage_ratio_conditional
mean_building_footprint_m2,Urban Form,EXCLUDE_REDUNDANT,N/A,0-filled placeholder for an undefined mean on zero-building cells (see Phase 5A); average building SIZE is also not a clearly-directional suitability signal.,has_buildings
distance_to_nearest_metro_m,Mobility/Transit Context,RETAIN,CONTEXT_DEPENDENT,"Transit proximity/service is explicitly ambiguous for e-bike/shared-micromobility suitability: moderate presence plausibly supports first/last-mile integration, but very strong direct transit provision may substitute for some e-bike trips. Marked CONTEXT_DEPENDENT rather than forced into a simple benefit or cost direction, per instruction.",
distance_to_nearest_tram_m,Mobility/Transit Context,RETAIN,CONTEXT_DEPENDENT,"Transit proximity/service is explicitly ambiguous for e-bike/shared-micromobility suitability: moderate presence plausibly supports first/last-mile integration, but very strong direct transit provision may substitute for some e-bike trips. Marked CONTEXT_DEPENDENT rather than forced into a simple benefit or cost direction, per instruction.",
distance_to_nearest_rail_m,Mobility/Transit Context,RETAIN,CONTEXT_DEPENDENT,"Transit proximity/service is explicitly ambiguous for e-bike/shared-micromobility suitability: moderate presence plausibly supports first/last-mile integration, but very strong direct transit provision may substitute for some e-bike trips. Marked CONTEXT_DEPENDENT rather than forced into a simple benefit or cost direction, per instruction.",
distance_to_nearest_ferry_m,Mobility/Transit Context,RETAIN,CONTEXT_DEPENDENT,"Transit proximity/service is explicitly ambiguous for e-bike/shared-micromobility suitability: moderate presence plausibly supports first/last-mile integration, but very strong direct transit provision may substitute for some e-bike trips. Marked CONTEXT_DEPENDENT rather than forced into a simple benefit or cost direction, per instruction.",
distance_to_nearest_metrobus_m,Mobility/Transit Context,RETAIN,CONTEXT_DEPENDENT,"Transit proximity/service is explicitly ambiguous for e-bike/shared-micromobility suitability: moderate presence plausibly supports first/last-mile integration, but very strong direct transit provision may substitute for some e-bike trips. Marked CONTEXT_DEPENDENT rather than forced into a simple benefit or cost direction, per instruction.",
distance_to_nearest_transit_m,Mobility/Transit Context,RETAIN,CONTEXT_DEPENDENT,"Transit proximity/service is explicitly ambiguous for e-bike/shared-micromobility suitability: moderate presence plausibly supports first/last-mile integration, but very strong direct transit provision may substitute for some e-bike trips. Marked CONTEXT_DEPENDENT rather than forced into a simple benefit or cost direction, per instruction.",
metro_station_count,Mobility/Transit Context,EXCLUDE_REDUNDANT,N/A,"Presence-count is redundant with the corresponding distance-to-nearest measure for a 500m cell; distance is the finer-grained, more informative form.",the corresponding distance_to_nearest_*_m criterion
tram_station_count,Mobility/Transit Context,EXCLUDE_REDUNDANT,N/A,"Presence-count is redundant with the corresponding distance-to-nearest measure for a 500m cell; distance is the finer-grained, more informative form.",the corresponding distance_to_nearest_*_m criterion
rail_station_count,Mobility/Transit Context,EXCLUDE_REDUNDANT,N/A,"Presence-count is redundant with the corresponding distance-to-nearest measure for a 500m cell; distance is the finer-grained, more informative form.",the corresponding distance_to_nearest_*_m criterion
ferry_terminal_count,Mobility/Transit Context,EXCLUDE_REDUNDANT,N/A,"Presence-count is redundant with the corresponding distance-to-nearest measure for a 500m cell; distance is the finer-grained, more informative form.",the corresponding distance_to_nearest_*_m criterion
metrobus_station_count,Mobility/Transit Context,EXCLUDE_REDUNDANT,N/A,"Presence-count is redundant with the corresponding distance-to-nearest measure for a 500m cell; distance is the finer-grained, more informative form.",the corresponding distance_to_nearest_*_m criterion
transit_stops_within_500m,Mobility/Transit Context,RETAIN,CONTEXT_DEPENDENT,"Transit proximity/service is explicitly ambiguous for e-bike/shared-micromobility suitability: moderate presence plausibly supports first/last-mile integration, but very strong direct transit provision may substitute for some e-bike trips. Marked CONTEXT_DEPENDENT rather than forced into a simple benefit or cost direction, per instruction.",
transit_stops_within_1000m,Mobility/Transit Context,EXCLUDE_REDUNDANT,N/A,Correlated with the 500m radius version at this grid resolution.,transit_stops_within_500m
fixed_guideway_stations_within_1000m,Mobility/Transit Context,RETAIN,CONTEXT_DEPENDENT,"Transit proximity/service is explicitly ambiguous for e-bike/shared-micromobility suitability: moderate presence plausibly supports first/last-mile integration, but very strong direct transit provision may substitute for some e-bike trips. Marked CONTEXT_DEPENDENT rather than forced into a simple benefit or cost direction, per instruction. Distinguished from generic transit_stops_within_500m as specifically capturing higher-capacity (metro/tram/rail) integration potential.",
unique_rail_lines,Mobility/Transit Context,EXCLUDE_REDUNDANT,N/A,Correlated with fixed_guideway_stations_within_1000m.,fixed_guideway_stations_within_1000m
bus_departures_per_day,Mobility/Transit Context,RETAIN,CONTEXT_DEPENDENT,"Transit proximity/service is explicitly ambiguous for e-bike/shared-micromobility suitability: moderate presence plausibly supports first/last-mile integration, but very strong direct transit provision may substitute for some e-bike trips. Marked CONTEXT_DEPENDENT rather than forced into a simple benefit or cost direction, per instruction. Represents current, non-stale service intensity (İETT feed), distinct from infrastructure presence.",
bus_departures_peak_hour,Mobility/Transit Context,EXCLUDE_REDUNDANT,N/A,Highly correlated with daily departures at this scale.,bus_departures_per_day
number_of_transit_modes_accessible,Mobility/Transit Context,EXCLUDE_REDUNDANT,N/A,Derived from the same underlying distances/counts already retained individually.,the individual distance_to_nearest_*_m criteria
bus_stops_within_500m,Mobility/Transit Context,EXCLUDE_REDUNDANT,N/A,Subset of transit_stops_within_500m (bus is the dominant mode); pooled measure preferred.,transit_stops_within_500m
routes_serving_grid,Mobility/Transit Context,EXCLUDE_REDUNDANT,N/A,Correlated with bus_departures_per_day / stop counts.,bus_departures_per_day
unique_bus_routes,Mobility/Transit Context,EXCLUDE_REDUNDANT,N/A,Correlated with bus_departures_per_day.,bus_departures_per_day
total_transit_stop_count,Mobility/Transit Context,EXCLUDE_REDUNDANT,N/A,Sum of the individual mode counts already excluded in favor of distances.,transit_stops_within_500m
bus_stop_count,Mobility/Transit Context,EXCLUDE_REDUNDANT,N/A,Presence-count redundant with the pooled distance/radius measures.,distance_to_nearest_transit_m / transit_stops_within_500m
distance_to_nearest_bus_stop_m,Mobility/Transit Context,EXCLUDE_REDUNDANT,N/A,Correlated with the pooled distance_to_nearest_transit_m (bus is the dominant/most ubiquitous mode).,distance_to_nearest_transit_m
rail_stations_within_1000m,Mobility/Transit Context,EXCLUDE_REDUNDANT,N/A,Exact duplicate of fixed_guideway_stations_within_1000m (deprecated alias).,fixed_guideway_stations_within_1000m
cycle_infrastructure_density_km_per_km2_ibb_only,Cycling Readiness,RETAIN,CONTEXT_DEPENDENT,"Existing cycling/micromobility infrastructure is explicitly ambiguous: presence may indicate deployment readiness and rider safety, OR its absence in a high-demand area may indicate unmet need rather than unsuitability. This criterion feeds the READINESS dimension as BENEFIT; the same underlying signal (inverted) also feeds the NEED/OPPORTUNITY dimension -- see readiness_need_architecture.json. Not resolved to a single direction here.",
protected_cycleway_density_km_per_km2_ibb_only,Cycling Readiness,RETAIN,CONTEXT_DEPENDENT,"Existing cycling/micromobility infrastructure is explicitly ambiguous: presence may indicate deployment readiness and rider safety, OR its absence in a high-demand area may indicate unmet need rather than unsuitability. This criterion feeds the READINESS dimension as BENEFIT; the same underlying signal (inverted) also feeds the NEED/OPPORTUNITY dimension -- see readiness_need_architecture.json. Not resolved to a single direction here. Distinguished from the general density as specifically physically-separated (safer) infrastructure.",
distance_to_nearest_cycle_infrastructure_m_ibb_only,Cycling Readiness,RETAIN,CONTEXT_DEPENDENT,"Existing cycling/micromobility infrastructure is explicitly ambiguous: presence may indicate deployment readiness and rider safety, OR its absence in a high-demand area may indicate unmet need rather than unsuitability. This criterion feeds the READINESS dimension as BENEFIT; the same underlying signal (inverted) also feeds the NEED/OPPORTUNITY dimension -- see readiness_need_architecture.json. Not resolved to a single direction here.",
distance_to_nearest_bicycle_parking_m,Cycling Readiness,RETAIN,CONTEXT_DEPENDENT,Same readiness-vs-prior-deployment ambiguity as cycling infrastructure: existing parking may reflect institutional readiness OR may partly encode where past deployment decisions were already made.,
bicycle_parking_count,Cycling Readiness,EXCLUDE_REDUNDANT,N/A,Correlated with the corresponding distance measure at this grid resolution; distance is more informative for a mostly-sparse point layer.,distance_to_nearest_bicycle_parking_m
distance_to_nearest_micromobility_parking_m,Cycling Readiness,RETAIN,CONTEXT_DEPENDENT,"Same institutional-readiness-vs-prior-deployment ambiguity, for scooter/e-bike-oriented parking specifically (distinct facility type from bicycle-specific parking).",
micromobility_parking_count,Cycling Readiness,EXCLUDE_REDUNDANT,N/A,Correlated with the corresponding distance measure.,distance_to_nearest_micromobility_parking_m
cycle_infrastructure_length_km_ibb_only,Cycling Readiness,EXCLUDE_REDUNDANT,N/A,Length is area-dependent; density is the scale-free form.,cycle_infrastructure_density_km_per_km2_ibb_only
protected_cycleway_length_km_ibb_only,Cycling Readiness,EXCLUDE_REDUNDANT,N/A,Length is area-dependent; density is the scale-free form.,protected_cycleway_density_km_per_km2_ibb_only
pct_road_network_with_cycle_infrastructure_status,Cycling Readiness,EXCLUDE_PENDING,N/A,"Explicit PENDING_ROAD_NETWORK status sentinel, not a usable numeric criterion yet.",
mean_slope_deg,Terrain Feasibility,RETAIN,COST,"e-bikes tolerate slope substantially better than conventional bicycles (the pilot's frozen methodology treats slope as comfortable below 3.0 deg, still e-bike-manageable up to 10.0 deg, with a floor of 0.5 to avoid rewarding perfectly flat terrain arbitrarily), but very steep terrain remains operationally undesirable regardless of motor assistance (safety, battery drain, braking). Treated as COST with a shallow-then-steepening penalty, not a simple linear cost, reusing the frozen pilot thresholds rather than inventing new ones.",
pct_area_slope_3_6deg,Terrain Feasibility,RETAIN,COST,Share of cell area in the mildly-sloped band -- supports a piecewise/threshold value function alongside mean_slope_deg.,
pct_area_slope_6_10deg,Terrain Feasibility,RETAIN,COST,Share of cell area approaching the steep threshold -- distinguishes cells with a mild mean slope but a substantial steep sub-area from uniformly mild cells.,
pct_area_slope_lt_3deg,Terrain Feasibility,EXCLUDE_REDUNDANT,N/A,Complementary share; retaining the two higher bands is sufficient to characterize the slope profile without triple-counting (all four bands sum to 100%).,mean_slope_deg (overall summary)
pct_area_slope_gt_10deg,Terrain Feasibility,EXCLUDE_REDUNDANT,N/A,Correlated with mean_slope_deg/max_slope_deg at this resolution; the two retained mid-range bands already capture the comfortable-to-steep transition relevant to e-bikes.,mean_slope_deg
median_elevation_m,Terrain Feasibility,EXCLUDE_REDUNDANT,N/A,Redundant summary statistic of the same elevation/slope distribution.,mean_slope_deg
max_elevation_m,Terrain Feasibility,EXCLUDE_REDUNDANT,N/A,Redundant summary statistic of the same elevation/slope distribution.,mean_slope_deg
min_elevation_m,Terrain Feasibility,EXCLUDE_REDUNDANT,N/A,Redundant summary statistic of the same elevation/slope distribution.,mean_slope_deg
elevation_range_m,Terrain Feasibility,EXCLUDE_REDUNDANT,N/A,Redundant summary statistic of the same elevation/slope distribution.,mean_slope_deg
elevation_std_m,Terrain Feasibility,EXCLUDE_REDUNDANT,N/A,Redundant summary statistic of the same elevation/slope distribution.,mean_slope_deg
median_slope_deg,Terrain Feasibility,EXCLUDE_REDUNDANT,N/A,Redundant summary statistic of the same elevation/slope distribution.,mean_slope_deg
max_slope_deg,Terrain Feasibility,EXCLUDE_REDUNDANT,N/A,Redundant summary statistic of the same elevation/slope distribution.,mean_slope_deg
slope_std_deg,Terrain Feasibility,EXCLUDE_REDUNDANT,N/A,Redundant summary statistic of the same elevation/slope distribution.,mean_slope_deg
mean_elevation_m,Terrain Feasibility,EXCLUDE_NOT_DECISION_RELEVANT,N/A,"Absolute elevation has no direct operational relevance to e-bike suitability -- it is GRADE (slope), not height above sea level, that affects rider effort/safety and battery use.",mean_slope_deg
n_valid_dem_pixels,Terrain Feasibility,EXCLUDE_NOT_DECISION_RELEVANT,N/A,"Coverage diagnostic, not a substantive criterion.",
road_grade_status,Terrain Feasibility,EXCLUDE_PENDING,N/A,"Explicit PENDING_ROAD_NETWORK status sentinel -- road-grade (as opposed to terrain slope) requires the citywide road network, still unavailable.",
