feature_name,dimension,variant,value_function
distance_to_nearest_transit_m,Transit,T2_substitution,"inverted-U peaking at the 70th-closeness percentile (rank=0.3), declining toward a floor of 0.6 for extreme closeness and 0.0 for extreme distance -- PEAK LOCATION AND FLOOR ARE SCENARIO ASSUMPTIONS, not an empirically validated crossover"
transit_stops_within_500m,Transit,T1_integration,"percentile_rank ** 0.5 -- more service=better, diminishing returns"
transit_stops_within_500m,Transit,T2_substitution,"inverted-U peaking at the 70th percentile of service intensity, declining toward 0.6 at the extreme high end -- SCENARIO ASSUMPTION"
fixed_guideway_stations_within_1000m,Transit,T1_integration,"percentile_rank ** 0.5 -- more service=better, diminishing returns"
fixed_guideway_stations_within_1000m,Transit,T2_substitution,"inverted-U peaking at the 70th percentile of service intensity, declining toward 0.6 at the extreme high end -- SCENARIO ASSUMPTION"
bus_departures_per_day,Transit,T1_integration,"percentile_rank ** 0.5 -- more service=better, diminishing returns"
bus_departures_per_day,Transit,T2_substitution,"inverted-U peaking at the 70th percentile of service intensity, declining toward 0.6 at the extreme high end -- SCENARIO ASSUMPTION"
cycle_infrastructure_density_km_per_km2_ibb_only,Cycling Readiness,readiness,percentile-rank-based saturating benefit/cost (see code); used directly for Readiness
cycle_infrastructure_density_km_per_km2_ibb_only,Cycling Infrastructure Gap,gap,"1 - (the same criterion's Readiness value) -- Opportunity role only, never combined with Readiness's own use of this criterion"
protected_cycleway_density_km_per_km2_ibb_only,Cycling Readiness,readiness,percentile-rank-based saturating benefit/cost (see code); used directly for Readiness
protected_cycleway_density_km_per_km2_ibb_only,Cycling Infrastructure Gap,gap,"1 - (the same criterion's Readiness value) -- Opportunity role only, never combined with Readiness's own use of this criterion"
distance_to_nearest_cycle_infrastructure_m_ibb_only,Cycling Readiness,readiness,percentile-rank-based saturating benefit/cost (see code); used directly for Readiness
distance_to_nearest_cycle_infrastructure_m_ibb_only,Cycling Infrastructure Gap,gap,"1 - (the same criterion's Readiness value) -- Opportunity role only, never combined with Readiness's own use of this criterion"
distance_to_nearest_bicycle_parking_m,Cycling Readiness,readiness,percentile-rank-based saturating benefit/cost (see code); used directly for Readiness
distance_to_nearest_bicycle_parking_m,Cycling Infrastructure Gap,gap,"1 - (the same criterion's Readiness value) -- Opportunity role only, never combined with Readiness's own use of this criterion"
distance_to_nearest_micromobility_parking_m,Cycling Readiness,readiness,percentile-rank-based saturating benefit/cost (see code); used directly for Readiness
distance_to_nearest_micromobility_parking_m,Cycling Infrastructure Gap,gap,"1 - (the same criterion's Readiness value) -- Opportunity role only, never combined with Readiness's own use of this criterion"
mean_slope_deg,Terrain,piecewise,"Frozen pilot treatment: 1.0 <=3deg, linear decline to floor 0.5 by 10deg, floor held beyond. Weight 0.6 within Terrain (primary signal)."
pct_area_slope_6_10deg,Terrain,share_cost,"1.0 at 0% steep-area share, linear to floor 0.5 at 100% share. Weight 0.25 within Terrain (secondary: penalizes cells whose mean is moderate but whose steep sub-area is large)."
pct_area_slope_3_6deg,Terrain,share_cost,Same form. Weight 0.15 within Terrain (tertiary signal) -- weights are DELIBERATELY UNEQUAL (not 1/3 each) specifically to avoid triple-counting the same underlying slope information three times at full strength.
