feature,skew_raw,skew_after_log1p,zero_prevalence_pct,recommendation,rationale
population_density_calibrated_km2,3.6,0.693,56.68,log1p,"Right-skewed non-negative count/density variable; log1p compresses the long tail while preserving zero as zero, keeping the interpretation 'no infrastructure/activity here' intact."
transit_stops_within_1000m,3.503,1.849,75.49,log1p,"Right-skewed non-negative count/density variable; log1p compresses the long tail while preserving zero as zero, keeping the interpretation 'no infrastructure/activity here' intact."
building_footprint_area_m2,3.228,0.908,65.17,log1p,"Right-skewed non-negative count/density variable; log1p compresses the long tail while preserving zero as zero, keeping the interpretation 'no infrastructure/activity here' intact."
building_coverage_ratio,3.157,2.929,65.17,log1p,"Right-skewed non-negative count/density variable; log1p compresses the long tail while preserving zero as zero, keeping the interpretation 'no infrastructure/activity here' intact."
poi_category_count,2.975,1.975,77.23,log1p,"Right-skewed non-negative count/density variable; log1p compresses the long tail while preserving zero as zero, keeping the interpretation 'no infrastructure/activity here' intact."
number_of_transit_modes_accessible,2.944,2.292,85.05,log1p,"Right-skewed non-negative count/density variable; log1p compresses the long tail while preserving zero as zero, keeping the interpretation 'no infrastructure/activity here' intact."
poi_entropy,2.613,2.332,85.55,log1p,"Right-skewed non-negative count/density variable; log1p compresses the long tail while preserving zero as zero, keeping the interpretation 'no infrastructure/activity here' intact."
distance_to_nearest_cycle_infrastructure_m_ibb_only,1.43,-1.145,0.0,log1p,"Right-skewed non-negative count/density variable; log1p compresses the long tail while preserving zero as zero, keeping the interpretation 'no infrastructure/activity here' intact."
pct_area_slope_lt_3deg,1.306,-0.17,2.15,log1p,"Right-skewed non-negative count/density variable; log1p compresses the long tail while preserving zero as zero, keeping the interpretation 'no infrastructure/activity here' intact."
elevation_std_m,1.141,-0.845,0.74,log1p,"Right-skewed non-negative count/density variable; log1p compresses the long tail while preserving zero as zero, keeping the interpretation 'no infrastructure/activity here' intact."
