kpi_id,display_name,short_name,description,unit,source_application,source_file,source_column,calculation_definition,population_weighted_or_cell_based,quality_requirements,known_limitations,recommended_display_format,recommended_visualization,headline_eligible,interpretation_warning
CYC_03,Required Categories Gained by Cycling,Categories Gained,Number of required categories newly accessible via cycling that were not accessible via walking.,count (0-3),CYCLING_ACCESSIBILITY_AND_ACTIVE_MOBILITY_GAIN_V1,analysis/applications/accessibility_gap_intelligence/accessibility_gap_grid_synthesis.parquet,cycling_closed_categories,"Derived (Phase 11) from cycling_required_categories_accessible_15min minus walking_required_categories_accessible_15min, floored at 0.",cell,everyday_access_reliable == True.,See CYC_01.,integer,choropleth,False,"Descriptive, not a priority score."
TR_01,Nearest General Transit (Walking),Transit Time (Walk),"Nearest-network travel time to any mapped transit access point (bus/metrobus/metro/tram/rail/ferry), walking.",minutes (NaN if unreachable within 15min),FIRST_LAST_MILE_TRANSIT_ACCESSIBILITY_V1,analysis/applications/first_last_mile_transit/walking_general_transit_accessibility.parquet,nearest_time_min,Exact cutoff-Dijkstra nearest-node time to System A.,cell,transit_gap_diagnostics.parquet quality_uncertainty_flag == RELIABLE strongly recommended.,main_gtfs stale (topology only); Silivri/Catalca have zero mapped stops (NO_FEED_COVERAGE).,"1 decimal, minutes",choropleth,False,NO_FEED_COVERAGE != NO_TRANSIT_SERVICE.
TR_02,Nearest Fixed-Guideway Transit (Walking),Fixed Transit Time (Walk),"Nearest-network travel time to metro/tram/rail/metrobus (System B), walking.",minutes (NaN if unreachable within 15min),FIRST_LAST_MILE_TRANSIT_ACCESSIBILITY_V1,analysis/applications/first_last_mile_transit/walking_fixed_transit_accessibility.parquet,nearest_time_min,Exact cutoff-Dijkstra nearest-node time to System B.,cell,See TR_01.,Ferry deliberately excluded from System B.,"1 decimal, minutes",choropleth,False,See TR_01.
TR_03,Nearest General Transit (Cycling),Transit Time (Cycle),"Nearest-network travel time to any mapped transit access point, cycling.",minutes (NaN if unreachable within 15min),FIRST_LAST_MILE_TRANSIT_ACCESSIBILITY_V1,analysis/applications/first_last_mile_transit/cycling_general_transit_accessibility.parquet,nearest_time_min,Exact cutoff-Dijkstra nearest-node time to System A on the cycling graph.,cell,See TR_01 (cycling quality flag also relevant).,Adalar cross-water cycling artifact.,"1 decimal, minutes",choropleth,False,See TR_01.
TR_04,Nearest Fixed-Guideway Transit (Cycling),Fixed Transit Time (Cycle),"Nearest-network travel time to metro/tram/rail/metrobus, cycling.",minutes (NaN if unreachable within 15min),FIRST_LAST_MILE_TRANSIT_ACCESSIBILITY_V1,analysis/applications/first_last_mile_transit/cycling_fixed_transit_accessibility.parquet,nearest_time_min,Exact cutoff-Dijkstra nearest-node time to System B on the cycling graph.,cell,See TR_01.,"See TR_02, TR_03.","1 decimal, minutes",choropleth,False,See TR_01.
TR_05,Cycle-Only Transit Gain (General),Cycle-Only Transit Gain,Cell cannot reach general transit within 10min walking but can within 10min cycling.,boolean,FIRST_LAST_MILE_TRANSIT_ACCESSIBILITY_V1,analysis/applications/first_last_mile_transit/general_transit_mode_comparison.parquet,access_class_10min,access_class_10min == 'CYCLE_ONLY_TRANSIT_GAIN'.,both,quality_uncertainty_flag == RELIABLE strongly recommended (RAW figure dominated by feed gaps).,Primary threshold is 10min for general transit (differs from fixed-guideway's 15min).,categorical badge,categorical choropleth (Map 07),True,"Use QUALITY-AWARE figures for headline claims, RAW only as diagnostic."
GAP_01,Everyday-Needs Gap Type,Everyday Gap Type,Which required categories (Food/Healthcare/Education) are missing within 15min walking.,categorical (9 classes),ACCESSIBILITY_GAP_INTELLIGENCE_V1,analysis/applications/accessibility_gap_intelligence/everyday_needs_gap_typology.parquet,everyday_gap_class,Derived directly from frozen Phase 8 missing-category flags; UNKNOWN_OR_QUALITY_LIMITED when network quality does not permit interpretation.,both,Built-in (UNKNOWN class covers unreliable cells).,"Categorical, not a severity score.",categorical legend,categorical choropleth (Map 08),False,Use neutral 'accessibility gap' language -- never 'service desert' or similar.
GAP_02,Cycling Gap-Closure Status,Closure Status,"Whether cycling fully, partially, or does not close a cell's everyday-needs gap.",categorical (5 classes),ACCESSIBILITY_GAP_INTELLIGENCE_V1,analysis/applications/accessibility_gap_intelligence/cycling_gap_closure.parquet,cycling_closure_status,Derived (Phase 11) by comparing missing walking categories against cycling 15min access for those same categories.,both,everyday_access_reliable == True (else CYCLING_RESULT_UNCERTAIN).,Only defined for cells WITH a walking gap.,categorical legend,categorical choropleth (Map 05),True,"Modeled potential closure, not observed mode shift."
GAP_03,Multi-Domain Accessibility Pattern,Multi-Domain Pattern,Joint everyday-needs and transit-access gap status (A-E classes).,categorical (5 classes),ACCESSIBILITY_GAP_INTELLIGENCE_V1,analysis/applications/accessibility_gap_intelligence/multi_domain_accessibility_patterns.parquet,multi_domain_class,Combines everyday_gap_class and transit_access_gap_class under strict_synthesis_reliable.,both,strict_synthesis_reliable == True (else class E).,Class E (uncertain) is large (26.16% of population) due to transit feed-coverage gaps.,categorical legend,categorical choropleth,False,Not a composite score -- a joint categorical label only.
EBK_01,E-bike Readiness,Readiness,Frozen baseline e-bike deployment Readiness score (physical/infrastructural suitability dimension).,"continuous [0,1]",E-bike Readiness & Latent Opportunity,analysis/mcda_v2/phase6b/ebike_readiness_baseline.parquet,ebike_readiness,Frozen MCDA dimension-first aggregation; see Phase 6B-V2 manifest for full derivation.,cell,None additional beyond the frozen application's own QA.,"MCDA value function, not a physical measurement; do not average across cells naively.",0-100 normalized display,choropleth (sequential),False,"Suitability indicator, not a deployment guarantee."
EBK_02,Latent E-bike Opportunity,Opportunity,Frozen baseline e-bike Opportunity score (demand-potential x cycling-gap dimension).,"continuous [0,1]",E-bike Readiness & Latent Opportunity,analysis/mcda_v2/phase6b/ebike_opportunity_baseline.parquet,ebike_opportunity,Frozen geometric demand^alpha * gap^(1-alpha) formula; see Phase 6B-V2 manifest.,cell,None additional.,See EBK_01.,0-100 normalized display,choropleth (sequential),False,"'Latent' means modeled, not observed or surveyed demand."
EBK_03,E-bike Readiness Consensus Class,Readiness Robustness,Sensitivity-robustness classification (ROBUST_HIGH/FREQUENT_HIGH/CONDITIONAL_HIGH/RARE_HIGH/NEVER_HIGH) across the 6 scoring variants.,categorical (5 classes),E-bike Readiness & Latent Opportunity,analysis/mcda_v2/phase6b/consensus_classes.parquet,readiness_consensus_class,Frozen; share of 6 sensitivity variants placing the cell in the top decile.,cell,None additional.,"Robustness to MCDA weighting choices only, not to data quality.",categorical legend,categorical choropleth,False,"Robust across scoring variants, not validated against real deployments."
EBK_04,E-bike Opportunity Consensus Class,Opportunity Robustness,Sensitivity-robustness classification for Opportunity across the 6 scoring variants.,categorical (5 classes),E-bike Readiness & Latent Opportunity,analysis/mcda_v2/phase6b/consensus_classes.parquet,opportunity_consensus_class,Frozen; share of 6 sensitivity variants placing the cell in the top decile.,cell,None additional.,See EBK_03.,categorical legend,categorical choropleth,False,See EBK_03.
QA_01,Walking Network Quality,Walking Quality,Corrected network-quality/component-reliability flag for walking accessibility interpretation.,categorical (5 classes),15-MINUTE ISTANBUL v1 / Phase 8.1,analysis/applications/15min_city/validation/corrected_accessibility_quality_flags.parquet,corrected_quality_flag,Frozen Phase 8.1 evidence-based component classification.,cell,N/A -- this IS the quality field.,Adalar always KNOWN_NETWORK_LIMITATION_ADALAR.,categorical legend,categorical choropleth (Map 12),False,"RELIABLE_SEPARATE_COMPONENT is valid, not a defect (genuine Bosphorus separation)."
QA_02,Cycling Network Quality,Cycling Quality,Corrected network-quality/component-reliability flag for cycling accessibility interpretation.,categorical (5 classes),CYCLING_ACCESSIBILITY_AND_ACTIVE_MOBILITY_GAIN_V1,analysis/applications/cycling_accessibility/cycling_accessibility_quality_flags.parquet,corrected_quality_flag,"Cycling-specific evidence-based component classification (own thresholds, not walking's reused).",cell,N/A.,See QA_01; Adalar has zero actual cycling nodes (cross-water anchor artifact).,categorical legend,categorical choropleth (Map 12),False,See QA_01.
QA_03,Transit Feed/Data Quality,Transit Data Quality,District-level transit feed coverage adequacy classification.,categorical (4 classes),FIRST_LAST_MILE_TRANSIT_ACCESSIBILITY_V1,analysis/applications/first_last_mile_transit/transit_district_quality.csv,transit_data_quality_class,Data-driven (not mechanical) classification from stop density + known sparse-district evidence.,district,N/A.,"Silivri and Catalca are NO_FEED_COVERAGE -- their stop counts are exactly zero, confirmed by re-audit.",categorical legend,categorical choropleth / hatched overlay (Map 12),False,NO_FEED_COVERAGE must NEVER be displayed or read as NO_TRANSIT_SERVICE.
QA_04,Synthesis Reliability Universe,Synthesis Reliability,Whether a cell qualifies for joint everyday-needs + transit interpretation (STRICT_SYNTHESIS_RELIABLE).,boolean,ACCESSIBILITY_GAP_INTELLIGENCE_V1,analysis/applications/accessibility_gap_intelligence/accessibility_gap_grid_synthesis.parquet,strict_synthesis_reliable,everyday_access_reliable AND transit_access_reliable.,both,N/A -- this IS the reliability field.,Only 27.29% of cells / 73.84% of population qualify.,boolean/binary map,binary choropleth (Map 12),False,"Low coverage is itself a finding, not a flaw to hide."
